"nombre;""rut"";""estado"";""categoria"";""tipo"";""segmentos"";""region"";""comuna"";""telefono"";""dir_comercial"";""dir_despacho"";""contacto_despacho"";""despacho"";""transportadora"";""dir_transportadora"";""compras"";""cobranzas"";""recepcion"";""marcas_propias"";""marcas_competencia"";""vendedor"""
"4TIME SPA;""77289697-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Metropolitana"";""Santiago"";""56478978"";""Alameda 2845, Santiago, Metropolitana"";""Alameda 2845, Santiago, Metropolitana"";"""";""Transportadora"";"""";""CHEVALIER"";""DIEGO"";"""";"""";""Ipone"";"""";""Sebastián Agusto"""
"ABRAHAM JOSEPH COLMENARES NIETO;""26176951-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"ADAN ESTEBAN CISTERNA GONZALEZ;""14616260-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Maule"";""Curico"";""+56994139206"";""FREIRE 709, 3, Curico, Maule"";"""";"""";""Retiro en tienda"";"""";"""";""ADAN CISTERNA"";"""";"""";""Bridgestone, Ipone, Monkey"";"""";"""""
"ADOLFO RODRIGO PARRAGUEZ MORENO;""13500676-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"Agricola Al Sur;""77281974-9"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Metropolitana"";""Vitacura"";"""";""AV NVA COSTANERA 4229 202, Vitacura, Metropolitana"";""Cadaques 538 538, Vitacura, Metropolitana"";"""";""Reparto propio"";"""";"""";"""";"""";"""";""Monkey"";"""";"""""
"AGRICOLA EL AGAVE LIMITADA;""77790893-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Monkey, GT-Oil, Ipone"";"""";"""""
"AGRICOLA EL JARDIN S.A.;""76477315-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""GT-Oil, Ipone"";"""";"""""
"AGRICOLA HETTICH-SMOLKO LIMITADA;""76573194-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Los Lagos"";""Purranque"";""+56 9 4275 5843"";""FUNDO MIRAMONTE, Purranque, Los Lagos"";"""";"""";""Retiro en tienda"";"""";"""";""andres enrique hettich"";"""";"""";"""";"""";"""""
"AGRICOLA QUELEN SPA;""77712539-7"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"AGRICOLA SANTA GABRIELA DEL TRAPICHE SPA.;""77336100-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"AGRICOLA Y GANADERA JOSE MIGUEL INFANTE E.I.R.L;""76220878-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"AGUSTIN EGUIGUREN BUSTAMANTE;""19892529-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"AGUSTIN REYES;""21865182-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"ALAN FERNANDO HERNANDEZ VILLEGAS;""13450991-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"ALBINI SPA;""76768872-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"ALDO GABRIEL RIQUELME ARAVENA;""19129662-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Shinko"";"""";""Claudio Leclerc"""
"ALDO OSORIO;""16207564-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";""+56982233168"";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";"""";"""";"""""
"ALEJANDRO FELIX HORN ALVAREZ;""16314798-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Monkey"";"""";"""""
"ALEJANDRO HUMBERTO DENHAM GUTIERREZ;""8331594-6"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Bridgestone, Ipone, Motoz"";"""";"""""
"ALEJANDRO JOSE DENHAM FRAUENBERG;""20072983-8"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Motoz"";"""";"""""
"ALEJANDRO MARCELO FONTAINE URIBARRI;""8778740-0"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"ALEJANDRO STUARDO;""15197368-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Monkey, Bridgestone"";"""";"""""
"ALEX MARCELO SOTO VASQUEZ;""15680954-3"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"ALEX MASTER SPA;""77426654-2"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Maule"";""Chillan"";""569745478"";""juanito 123, Chillan, Maule"";""juanito 123, Chillan, Maule"";"""";""Reparto propio"";"""";"""";""Fabio"";"""";"""";""Ipone, Shinko"";"""";""Claudio Leclerc"""
"ALEX MAURICIO MARTINEZ AVILES;""16934627-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Gibson, Ipone"";"""";""Claudio Leclerc"""
"ALLEN MOTOS SPA;""76711421-4"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Monkey"";"""";""Claudio Leclerc"""
"ALLENDES MOTOS;""11976738-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""GT-Oil, Ipone, Monkey"";"""";""Sebastián Agusto"""
"ALVARO LEONEL SAEZ PIZARRO;""17529032-K"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"AMBAR ARCE FUENTES;""17096579-5"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Shinko"";"""";"""""
"American Friction Lube Chile Spa;""76933452-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";""Metropolitana"";""San Joaquin"";""+56972201109"";""Sierra Bella 2352, San Joaquin, Metropolitana"";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone"";"""";"""""
"ANA MARIA MEZA VERGARA;""10712536-1"";""Cliente"";""3"";""Tienda de repuestos"";"""";"""";"""";"""";"""";"""";"""";""Retiro en tienda"";"""";"""";"""";"""";"""";""Ipone, Motoz"";"""";"""""
