codigo;descripcion;marca;modelo;codigo_proveedor;codigo_ean;familia_nivel1;familia_nivel2;familia_nivel3;familia_nivel4;familia_nivel5;precio_mercado;stock;activo;es_principal;descuento_marca;descuento_modelo
15415200;NEUMATICO X20F 80/100-21 51M -MCS01332;BRIDGESTONE;X20;;;NEUMATICOS;MOTOCROSS;80/100;21;D;;0;true;false;;
15452200;RS10F 120/70-17 58W MC-MCR06020;BRIDGESTONE;RS10;;;NEUMATICOS;MOTOCROSS;120/70;17;T;;0;true;false;;
16583200;NEUMATICO RS 10 R 180/55-17 73W MC-MCR05970;BRIDGESTONE;RS10;;;NEUMATICOS;MOTOCROSS;;;;;0;true;false;;
17072200;NEUMATICO X20R 110/90-19 62M -MCS01335;BRIDGESTONE;Battlecross;;;NEUMATICOS;MOTOCROSS;;;;129789;-3;true;false;;
17603200;NEUMATICO X20R 120/80-19 63M -MCS01366;BRIDGESTONE;Battlecross;;;NEUMATICOS;MOTOCROSS;;;;134788;0;true;false;;
18280200;110/80R19M/C 59V BATTLAX ADVENTURE A41F;BRIDGESTONE;Battlax Adventure Trail;;;NEUMATICOS;TOURING;;;;255790;0;true;false;;
18282200;MCR06008 120/70R19 60V BATTLAX ADVENTURE A41F;BRIDGESTONE;Battlax Adventure Trail;;;NEUMATICOS;TOURING;;;;306790;0;true;false;;
18288200;MCR05927 170/60R17M/C 72V BATTLAX ADVENTURE A41R;BRIDGESTONE;Battlax Adventure Trail;;;NEUMATICOS;TOURING;;;;340789;0;true;false;;
18643200;NEUMATICO E50R 120/90-18 65P -MCS01725;BRIDGESTONE;Battlecross;;;NEUMATICOS;ENDURO;;;;129789;0;true;false;;
18647200;NEUMATICO E50F 90/90-21 54P -MCS01801;BRIDGESTONE;Battlecross;;;NEUMATICOS;ENDURO;;;;104789;0;true;false;;
18648200;NEUMATICO E50R 140/80-18 70P -MCS01781;BRIDGESTONE;Battlecross;;;NEUMATICOS;ENDURO;;;;134790;0;true;false;;
19396200;150/70R17M/C 69V BATTLAX ADVENTURE A41R;BRIDGESTONE;Battlax Adventure Trail;;;NEUMATICOS;TOURING;;;;288790;-2;true;false;;
19481200;NEUMATICO RS 11 F 120/70-17 58W MC-MCR06314;BRIDGESTONE;Battlax Racing Street;;;NEUMATICOS;VELOCIDAD;;;;149790;0;true;false;;
19728200;NEUMATICO BT46 F 90/90-21 54H-MCS01810;BRIDGESTONE;Battlax Vintage;;;NEUMATICOS;VELOCIDAD;;;;146790;-1;true;false;;
20459200;NEUMATICO AT41F 110/80-19 -MCR06186;BRIDGESTONE;Battlax Adventure Trail;;;NEUMATICOS;TOURING;;;;217789;0;true;false;;
20460200;NEUMATICO AT41F 120/70-19 60V -MCR06082;BRIDGESTONE;Battlax Adventure Trail;;;NEUMATICOS;TOURING;;;;227789;-1;true;false;;
20461200;NEUMATICO AT41R150/70-17 69V -MCR06231;BRIDGESTONE;Battlax Adventure Trail;;;NEUMATICOS;TOURING;;;;297789;0;true;false;;
20462200;NEUMATICO AT 41 R 170/60-17 72V MC-MCR06083;BRIDGESTONE;Battlax Adventure Trail;;;NEUMATICOS;TOURING;;;;329789;0;true;false;;
20463200;NEUMATICO AT41R 140/80-17 69V -MCR06025;BRIDGESTONE;Battlax Adventure Trail;;;NEUMATICOS;TOURING;;;;284789;0;true;false;;
20465200;NEUMATICO AT 41 F 90/90-21 54V MC-MCS01718;BRIDGESTONE;Battlax Adventure Trail;;;NEUMATICOS;TOURING;;;;197789;0;true;false;;
20466200;NEUMATICO AT41R 150/70-18 70V MC-MCR06250;BRIDGESTONE;Battlax Racing Street;;;NEUMATICOS;VELOCIDAD;;;;307789;0;true;false;;
20467200;NEUMATICO AT 41 R 130/80-17 65H MC-MCR06251;BRIDGESTONE;Battlax Adventure Trail;;;NEUMATICOS;TOURING;;;;284789;0;true;false;;
20468200;NEUMATICO X31R 120/80-19 63M -MCS01575;BRIDGESTONE;Battlecross;;;NEUMATICOS;MOTOCROSS;;;;134788;0;true;false;;
20469200;NEUMATICO X31F 80/100-21 51M -MCS01572;BRIDGESTONE;Battlecross;;;NEUMATICOS;MOTOCROSS;;;;104789;-1;true;false;;
20470200;NEUMATICO X31R 110/90-19 62M -MCS01574;BRIDGESTONE;Battlecross;;;NEUMATICOS;MOTOCROSS;;;;124789;0;true;false;;
20538200;NEUMATICO RS10R 190/50-17 73W-MCR06097;BRIDGESTONE;Battlax Racing Street;;;NEUMATICOS;VELOCIDAD;;;;254789;0;true;false;;
20578200;NEUMATICO X31R 110/100-18 64M -MCS01576;BRIDGESTONE;Battlecross;;;NEUMATICOS;MOTOCROSS;;;;124789;0;true;false;;
22040200;NEUMATICO S23F120/70-17 58W -MCR06198;BRIDGESTONE;Battlax Hypersport;;;NEUMATICOS;VELOCIDAD;;;;190790;0;true;false;;
22041200;NEUMATICO S23R160/60-17 69W-MCR06199;BRIDGESTONE;Battlax Hypersport;;;NEUMATICOS;VELOCIDAD;;;;209789;0;true;false;;
22042200;MCR06200 NEUMATICO S23R180/55-17 73W -MCR06200;BRIDGESTONE;Battlax Hypersport;;;NEUMATICOS;VELOCIDAD;;;;219789;0;true;false;;
22043200;NEUMATICO S23R 190/50-17 73W -MCR06201;BRIDGESTONE;Battlax Hypersport;;;NEUMATICOS;VELOCIDAD;;;;244788;0;true;false;;
22044200;MCR06202 190/55 17M/C *75W BATTLAX HYPERSPORT S23;BRIDGESTONE;Battlax Hypersport;;;NEUMATICOS;VELOCIDAD;;;;244790;0;true;false;;
22045200;MCR06203 200/55 17M/C *78W BATTLAX HYPERSPORT S23;BRIDGESTONE;Battlax Hypersport;;;NEUMATICOS;VELOCIDAD;;;;249790;-1;true;false;;
23149200;MCR06381 180/55ZR17M/C BATTLAX SPORT TOURING T33R;BRIDGESTONE;Sport Touring;;;NEUMATICOS;TOURING;;;;265790;0;true;false;;
23151200;120/70ZR17M/C BATTLAX SPORT TOURING T33F;BRIDGESTONE;Sport Touring;;;NEUMATICOS;TOURING;;;;210789;0;true;false;;
23158200;190/55ZR17M/C BATTLAX SPORT TOURING T33R;BRIDGESTONE;Sport Touring;;;NEUMATICOS;TOURING;;;;286790;-2;true;false;;
800004;STROKE 4 5W40;IPONE;STROKE 4;;;ACEITE;MOTOR;5W40;100% RACING;1L;0;;100;true;;
800005;STROKE 4 5W40;IPONE;STROKE 4;;;ACEITE;MOTOR;5W40;100% RACING;4L;0;;100;true;;
800041;R 4000 RS 10W50;IPONE;R 4000;;;ACEITE;MOTOR;10W50;SEMI SINTETICO PLUS;1L;20790;;100;true;;
800186;BOX X-TREM 15X1;IPONE;BOX X-TREM;;;ACEITE;TRASMISION;CAJA;100% SINTETICO;1L;28990;;200;true;;
800202;MONOSHOCK FLUID 6X1;IPONE;MONOSHOCK;;;ACEITE;SUSPENCION;3W;100% 100% SINTETICO;1L;33450;;100;true;;
800204;FORK FLUID 3 15X1;IPONE;HORQUILLA;;;ACEITE;SUSPENCION;3W;100% 100% SINTETICO;1L;24990;;100;true;;
800208;FORK FLUID 7 15X1;IPONE;HORQUILLA;;;ACEITE;SUSPENCION;7W;100% 100% SINTETICO;1L;24990;;100;true;;
800212;FORK FULL SYNTHESIS 5 15X1;IPONE;HORQUILLA;;;ACEITE;SUSPENCION;5W;100% 100% SINTETICO;1L;20990;;100;true;;
800214;FORK FULL SYNTHESIS 15 15X1;IPONE;HORQUILLA;;;ACEITE;SUSPENCION;15W;SEMI SINTETICO;1L;20990;;100;true;;
800215;FORK FULL SYNTHESIS 20 6X1;IPONE;HORQUILLA;;;ACEITE;SUSPENCION;20W;SEMI SINTETICO;1L;20990;;100;true;;
800312;BRAKE DOT 4 12X1;IPONE;BRAKE 4;;;ACEITE;FRENOS;DOT4;SINTETICO;500ML;12990;;100;true;;
800313;BRAKE DOT 5.1;IPONE;BRAKE 5.1;;;ACEITE;FRENOS;DOT5.1;SINTETICO;500ML;0;;100;true;;
800536;TRANS 4 75W90 15X1;IPONE;TRANS 4;;;ACEITE;TRASMISION;75W90;SEMI SINTETICO;1L;27990;;100;true;;
800544;X'TREM BRAKE FLUID 12X1;IPONE;XTREM BRAKE;;;ACEITE;FRENOS;DOT4;100% SINTETICO RACING;500ML;24990;;100;true;;
800634;FULL POWER KATANA 10W30 - 1X60L;IPONE;POWER KATANA;;;ACEITE;MOTOR;10W30;100% 100% SINTETICO;60L;0;;100;true;;
800640;XTREM CHAIN ROAD - 100ML;IPONE;XTREM CHAIN ROAD;;;MANTENCION;SPRAY CADENA;ROAD;;100ML;9850;;100;true;;
800641;XTREM CHAIN ROAD 12X250;IPONE;XTREM CHAIN ROAD;;;MANTENCION;SPRAY CADENA;ROAD;ROAD;250ML;12790;;100;true;;
800642;XTREM CHAIN ROAD 12X750 ML;IPONE;XTREM CHAIN ROAD;;;MANTENCION;SPRAY CADENA;ROAD;ROAD;750ML;22790;;100;true;;
800643;RED CHAIN 12X250ML;IPONE;XTREM CHAIN RED ;;;MANTENCION;SPRAY CADENA;ROJO;ROAD;250ML;0;;100;true;;
800644;BLUE CHAIN 12X250ML;IPONE;XTREM CHAIN BLUE;;;MANTENCION;SPRAY CADENA;AZUL;ROAD;250ML;0;;100;true;;
800645;WHITE CHAIN 12X250ML;IPONE;XTREM CHAIN WHITE;;;MANTENCION;SPRAY CADENA;BLANCO;ROAD;250ML;10490;;100;true;;
800647;XTREM CHAIN OFFROAD 12X250;IPONE;XTREM CHAIN OFF;;;MANTENCION;SPRAY CADENA;OFFROAD;OFFROAD;250ML;0;;100;true;;
800648;XTREM CHAIN OFFROAD 12X750;IPONE;XTREM CHAIN OFF;;;MANTENCION;SPRAY CADENA;OFFROAD;OFFROAD;750ML;0;;100;true;;
800649;CHAIN CLEAN 12X750 ML;IPONE;CHAIN CLEAN;;;MANTENCION;SPRAY CADENA;LAVADO;;750 ML;21990;;100;true;;
800650;CARBU CLEANER 12X750 ML;IPONE;CARBU CLEAN;;;MANTENCION;CARBURADOR;LAVADO;;750 ML;21990;;100;true;;
800651;AIR FILTER OIL LIQUID 12X500 ML;IPONE;AIR FILTER;;;MANTENCION;FILTRO AIRE;LIQUIDO;;500 ML;14990;;100;true;;
800652;AIR FILTER OIL SPRAY 12X750;IPONE;AIR FILTER;;;MANTENCION;FILTRO AIRE;SPRAY;;750ML;0;;100;true;;
800653;ENGINE CLEANER 12X300 ML;IPONE;ENGINE;;;MANTENCION;MOTOR;LAVADO;;300ML;20990;;100;true;;
800657;S.O.S. TYRE 12X200;IPONE;REPARA PINCHAZO;;;CARELINE;RUEDAS;;;200ML;0;;100;true;;
800658;BRAKE CLEANER 12X750 ML;IPONE;BRAKE CLEANER;;;MANTENCION;FRENOS;;;750ML;0;;100;true;;
800663;FULL PROTECT 12X250 ML;IPONE;PROTECT 6 EN 1;;;MANTENCION;CARELINE;;;250ML;10990;;100;true;;
800664;FULL PROTECT 12X750 ML;IPONE;PROTECT 6 EN 1;;;MANTENCION;CARELINE;;;750ML;18990;;100;true;;
800665;PLASTIC SHINE 12X250 ML;IPONE;SILICONA;;;MANTENCION;PLASTICOS;SILICONA;;250ML;10990;;100;true;;
800666;PLASTIC SHINE 12X750ML;IPONE;SILICONA;;;MANTENCION;PLASTICOS;;;750ML;20990;;100;true;;
800670;MOTO WASH 12X1;IPONE;MOTO WASH;;;MANTENCION;MOTO;;;1L;22990;;100;true;;
800673;WATERPROOF GREASE 6X200 GRS;IPONE;GRASA WATER PROOF;;;MANTENCION;CARELINE;;;200GRS;21990;;100;true;;
800675;CHROM'ALU 6X200 ML;IPONE;CARELINE;;;MANTENCION;CARELINE;;;200ML;17990;;100;true;;
800676;VISOR RAIN-OFF 12X100 ML;IPONE;VISOR RAIN;;;MANTENCION;CASCOS;;;100ML;10990;;100;true;;
800677;HELMET OUT 12X100 ML;IPONE;HELMET OUT;;;MANTENCION;CASCOS;;;100ML;9990;;100;true;;
800678;HELMET INT 12X150 ML;IPONE;HELMET IN;;;MANTENCION;CASCOS;;;150ML;9990;;100;true;;
800679;LEATHER CREAM 12X100 ML;IPONE;ROPA;;;ROPA;ROPA;;;100ML;13990;;100;true;;
800680;TEXTILE CLEANER 12X300 ML;IPONE;ROPA;;;ROPA;ROPA;;;300ML;12990;;100;true;;
800683;AIR FILTER CLEANER 5L;IPONE;AIR FILTER CLEANER;;;MANTENCION;FILTRO AIRE;;;5L;0;;100;true;;
800735;HELMET KIT 1X4 PACKS;IPONE;HELMET KIT;;;CARELINE;CASCOS;KIT CASCO;;100ML;42790;;100;true;;
800736;ROAD CHAIN CARE (1X4 P�CKS);IPONE;KIT CADENA;;;MANTENCION;SPRAY CADENA;KIT CADENA;ROAD;750ML;54790;;100;true;;
800846;STROKE 4 10W40;IPONE;STROKE 4;;;ACEITE;MOTOR;10W40;100% RACING;4L;33790;;100;true;;
800847;STROKE 4 10W40 4 LITROS;IPONE;STROKE 4;;;ACEITE;MOTOR;10W40 4L;100% RACING;1L;109991;;100;true;;
800858;X-TREM CHAIN ROAD 12X500ML;IPONE;SPRAY CADENA;;;MANTENCION;SPRAY CADENA;500ML;ROAD;500ML;19790;;100;true;;
800891;FORK FLUID 3 - 1X220L;IPONE;SUSPENCION;;;ACEITE;SUSPENCION;3W 220L;100% SINTETICO;220L;2223102;;100;true;;
800942;CLEANING KIT;IPONE;CARELINE;;;LAVADO;CARELINE;KIT LAVADO MOTO;;1L;54790;;100;true;;
800998;SHOGUN 4T 100% 100% SINTETICO - RACING / ESTER;IPONE;SHOGUN 4T;;;ACEITE;MOTOR;5W40;100% RACING;1L;38790;;100;true;;
801003;SHOGUN 4T 100% 100% SINTETICO - RACING / ESTER;IPONE;SHOGUN 4T;;;ACEITE;MOTOR;10W40;100% RACING;1L;38790;;100;true;;
